,Datetime,Open,High,Low,Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_70,RSI_14_B_30,MA10,MA20,MA50,slopes,slopes20,slopess1p,slopes20s1p,macd_slopes10,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,macd_dn_to_up,macd_up_to_dn,macd_above_up,macd_above_dn,macd_below_up,macd_below_dn,vol_gt2,max,min,max_macd_val,max_macd_idx,min_macd_val,min_macd_idx,buy_price,Buy,Buy_zero,tot_buy,Buy_count_tmp,Buy_count,Sell,Sell_zero,tot_sell,Sell_count_tmp,Sell_count
365,2022-09-06 06:06:00,12136.0,12136.0,12136.0,12136.0,132926,-4.420144250616431e-10,2.023974541655166e-10,-6.444118792271597e-10,42.65481286120343,0,0,12136.0,12136.0,12136.0,0.0,0.0,0.0,0.0,2.7211003107628036e-09,-4.092726157978177e-10,-5.973840265412913e-10,n,n,n,n,-4.765752237290144e-10,-6.950112427685388e-10,n,n,n,n,y,n,n,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
366,2022-09-06 06:07:00,12136.0,12136.0,12136.0,12136.0,132926,-4.092726157978177e-10,1.8811141074347361e-10,-5.973840265412913e-10,42.65481286120343,0,0,12136.0,12136.0,12136.0,0.0,0.0,0.0,0.0,2.5227657012968056e-09,-3.80168785341084e-10,-5.539409783012499e-10,n,n,n,n,-4.420144250616431e-10,-6.444118792271597e-10,n,n,n,n,y,n,n,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
367,2022-09-06 06:08:00,12136.0,12136.0,12136.0,12136.0,132926,-3.80168785341084e-10,1.7377219296016585e-10,-5.539409783012499e-10,42.65481286120343,0,0,12136.0,12136.0,12136.0,0.0,0.0,0.0,0.0,2.3376955083874506e-09,-3.5288394428789616e-10,-5.137295714985791e-10,n,n,n,n,-4.092726157978177e-10,-5.973840265412913e-10,n,n,n,n,y,n,n,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
368,2022-09-06 06:09:00,12136.0,12136.0,12136.0,12136.0,132926,-3.5288394428789616e-10,1.6084562721068296e-10,-5.137295714985791e-10,42.654812861203425,0,0,12136.0,12136.0,12136.0,0.0,0.0,0.0,0.0,2.16336317650014e-09,-3.2741809263825417e-10,-4.764672757265141e-10,n,n,n,n,-3.80168785341084e-10,-5.539409783012499e-10,n,n,n,n,y,n,n,Nan,Nan,-3.5288394428789616e-10,-3.5288394428789616e-10,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
369,2022-09-06 06:10:00,12136.0,12136.0,12136.0,12136.0,132926,-3.2741809263825417e-10,1.4904918308825998e-10,-4.764672757265141e-10,42.65481286120343,0,0,12136.0,12136.0,12136.0,0.0,0.0,0.0,0.0,2.001663622285823e-09,-0.7777777780811448,-0.15555555599740278,y,y,n,n,-3.5288394428789616e-10,-5.137295714985791e-10,n,n,n,n,y,n,n,Nan,Nan,-3.2741809263825417e-10,-3.2741809263825417e-10,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
370,2022-09-06 06:11:00,12126.25,12126.25,12126.25,12126.25,133152,-0.7777777780811448,-0.622222222083742,-0.15555555599740278,2.439723793491962e-08,0,1,12135.025,12135.5125,12135.805,-28.00485738804365,-7.929467628162812,0.0,0.0,-2.429273321648808,-1.4580563472245558,-0.4160557142428334,n,n,y,y,-3.2741809263825417e-10,-4.764672757265141e-10,n,y,n,n,n,y,n,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
371,2022-09-06 06:12:00,12125.25,12125.25,12125.25,12125.25,133297,-1.4580563472245558,-1.0420006329817224,-0.4160557142428334,2.197051444708342e-08,0,1,12133.95,12134.975,12135.59,-45.0,-15.546327273079052,-28.00485738804365,-7.929467628162812,-6.420313198446069,-2.3932255242216343,-0.8114896762385936,n,n,n,n,-0.7777777780811448,-0.15555555599740278,n,n,n,n,n,y,n,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
372,2022-09-06 06:13:00,12120.0,12120.0,12120.0,12120.0,133414,-2.3932255242216343,-1.5817358479830408,-0.8114896762385936,1.4062282052297021e-08,0,1,12132.35,12134.175,12135.27,-58.380571072093,-25.451638393716028,-45.0,-15.546327273079052,-12.186746432381616,-3.298064901935504,-1.3088047213779759,n,n,n,n,-1.4580563472245558,-0.4160557142428334,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
373,2022-09-06 06:14:00,12117.5,12117.5,12117.5,12117.5,133527,-3.298064901935504,-1.9892601805575283,-1.3088047213779759,1.1871027221622435e-08,0,1,12130.5,12133.25,12134.9,-65.4665486045962,-34.424335871227,-58.380571072093,-25.451638393716028,-18.765201235245893,-3.4708243585246237,-1.7412086488073055,n,n,n,n,-2.3932255242216343,-0.8114896762385936,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
374,2022-09-06 06:15:00,12123.75,12123.75,12123.75,12123.75,133654,-3.4708243585246237,-1.7296157097173182,-1.7412086488073055,29.55408838480214,0,1,12129.275,12132.6375,12134.655,-65.48150737914243,-37.86976403013122,-65.4665486045962,-34.424335871227,-23.411719104460136,-3.746110834672436,-2.1421890859803314,n,n,n,n,-3.298064901935504,-1.3088047213779759,n,n,n,n,n,y,y,Nan,Nan,,,,,NaN,NaN,0,12133.25,0,1,,0,0.0,0,0
