,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdh_s1,macdh_trend_abv_up,macdh_trend_abv_dn,macdh_trend_blw_up,macdh_trend_blw_dn,buy_price,Buy,Buy_zero,Buy_count_tmp,Buy_count,Buy_count_compare,Sell,Sell_zero,Sell_count_tmp,Sell_count,Sell_count_compare
990,2022-08-18 16:57:00,13468.5,13468.5,13468.5,13468.5,4.157170035021409,2.3101663410251607,1.847003693996248,75.90451074204016,0,0,13455.7,13451.0,13450.875,4.961478170582268,2.469898589313452,n,n,n,n,2.029741250929306,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
991,2022-08-18 16:58:00,13470.75,13470.75,13470.75,13470.75,4.961478170582268,2.491579581268816,2.469898589313452,77.54032292070785,0,0,13457.925,13452.475,13451.295,5.2957768161559216,3.0350742346819457,n,n,n,n,2.3101663410251607,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
992,2022-08-18 16:59:00,13467.75,13467.75,13467.75,13467.75,5.2957768161559216,2.260702581473976,3.0350742346819457,70.6529816571745,0,0,13459.65,13453.5875,13451.69,5.696771175895265,3.5674136229246094,n,n,n,n,2.491579581268816,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
993,2022-08-18 17:00:00,13470.25,13470.25,13470.25,13470.25,5.696771175895265,2.129357552970655,3.5674136229246094,72.8196039859922,0,0,13461.775,13454.9,13452.09,5.706703837504392,3.995271665840566,n,n,n,n,2.260702581473976,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
994,2022-08-18 17:01:00,13467.25,13467.25,13467.25,13467.25,5.706703837504392,1.711432171663826,3.995271665840566,66.47714696651592,0,0,13463.7,13456.075,13452.44,5.469964995887494,4.290210331849952,n,n,n,n,2.129357552970655,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
995,2022-08-18 17:02:00,13465.0,13465.0,13465.0,13465.0,5.469964995887494,1.1797546640375423,4.290210331849952,62.10794306267522,0,0,13465.075,13457.0375,13452.715,5.142377983271217,4.460643862134205,n,n,n,n,1.711432171663826,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
996,2022-08-18 17:03:00,13464.0,13464.0,13464.0,13464.0,5.142377983271217,0.681734121137012,4.460643862134205,60.21373503381851,0,0,13466.2,13457.85,13452.935,4.847061913747893,4.537927472456943,n,n,n,n,1.1797546640375423,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
997,2022-08-18 17:04:00,13464.25,13464.25,13464.25,13464.25,4.847061913747893,0.3091344412909507,4.537927472456943,60.5377662743158,0,0,13466.725,13458.675,13453.185,4.460736652283231,4.5224893084222,y,y,n,n,0.681734121137012,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-33,
998,2022-08-18 17:05:00,13463.0,13463.0,13463.0,13463.0,4.460736652283231,-0.061752656138969186,4.5224893084222,57.99448105571522,0,0,13466.625,13459.45,13453.36,4.346541798973703,4.4872998065325005,n,n,y,y,0.3091344412909507,y,n,n,y,NaN,NaN,0,0,35,,13463.0,13463.0,-1,-34,1.0
999,2022-08-18 17:06:00,13466.0,13466.0,13466.0,13466.0,4.346541798973703,-0.14075800755879708,4.4872998065325005,62.10884276262024,0,0,13466.675,13460.2125,13453.63,4.845716295110833,4.558983104248167,y,y,n,n,-0.061752656138969186,n,n,n,n,NaN,NaN,0,0,35,,,0,0,-34,
1000,2022-08-18 17:07:00,13474.0,13474.0,13474.0,13474.0,4.845716295110833,0.286733190862666,4.558983104248167,70.42726591204332,0,0,13467.225,13461.4625,13454.005,5.361072765928839,4.719401036584301,n,n,y,y,-0.14075800755879708,n,y,y,n,13474.0,13474.0,13474.0,1,36,1.0,,0,0,-34,
1001,2022-08-18 17:08:00,13476.25,13476.25,13476.25,13476.25,5.361072765928839,0.6416717293445373,4.719401036584301,72.27106479213194,0,0,13467.775,13462.85,13454.33,5.5442030747926765,4.884361444225976,n,n,n,n,0.286733190862666,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1002,2022-08-18 17:09:00,13474.25,13474.25,13474.25,13474.25,5.5442030747926765,0.6598416305667003,4.884361444225976,68.20061395378387,0,0,13468.425,13464.0375,13454.635,5.823929635014792,5.072275082383739,n,n,n,n,0.6416717293445373,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1003,2022-08-18 17:10:00,13476.75,13476.75,13476.75,13476.75,5.823929635014792,0.7516545526310532,5.072275082383739,70.44166967589256,0,0,13469.075,13465.425,13455.095,5.87700395273896,5.233220856454784,n,n,n,n,0.6598416305667003,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1004,2022-08-18 17:11:00,13475.5,13475.5,13475.5,13475.5,5.87700395273896,0.6437830962841762,5.233220856454784,67.86628170335672,0,0,13469.9,13466.8,13455.445,5.971270111040212,5.380830707371869,n,n,n,n,0.7516545526310532,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1005,2022-08-18 17:12:00,13477.0,13477.0,13477.0,13477.0,5.971270111040212,0.5904394036683431,5.380830707371869,69.31602328504528,0,0,13471.1,13468.0875,13455.88,5.917247641205904,5.488114094138676,n,n,n,n,0.6437830962841762,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1006,2022-08-18 17:13:00,13476.25,13476.25,13476.25,13476.25,5.917247641205904,0.42913354706722817,5.488114094138676,67.67205414584993,0,0,13472.325,13469.2625,13456.325,5.667888183174,5.524068911945741,n,n,n,n,0.5904394036683431,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1007,2022-08-18 17:14:00,13474.5,13474.5,13474.5,13474.5,5.667888183174,0.1438192712282591,5.524068911945741,63.86586564040376,0,0,13473.35,13470.0375,13456.735,5.906505266673776,5.6005561828913475,n,n,n,n,0.42913354706722817,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1008,2022-08-18 17:15:00,13480.75,13480.75,13480.75,13480.75,5.906505266673776,0.30594908378242813,5.6005561828913475,70.29237955904358,0,0,13475.125,13470.875,13457.21,6.624435970081322,5.805332140329343,n,n,n,n,0.1438192712282591,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1009,2022-08-18 17:16:00,13488.25,13488.25,13488.25,13488.25,6.624435970081322,0.8191038297519793,5.805332140329343,75.84430124780499,0,0,13477.35,13472.0125,13457.815,7.310855342038849,6.106436780671244,n,n,n,n,0.30594908378242813,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1010,2022-08-18 17:17:00,13490.75,13490.75,13490.75,13490.75,7.310855342038849,1.2044185613676053,6.106436780671244,77.3629545427277,0,0,13479.025,13473.125,13458.575,7.565903507051189,6.398330125947233,n,n,n,n,0.8191038297519793,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1011,2022-08-18 17:18:00,13488.25,13488.25,13488.25,13488.25,7.565903507051189,1.1675733811039564,6.398330125947233,72.45720584049053,0,0,13480.225,13474.0,13459.32,7.639620405485402,6.646588181854867,n,n,n,n,1.2044185613676053,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1012,2022-08-18 17:19:00,13487.75,13487.75,13487.75,13487.75,7.639620405485402,0.9930322236305358,6.646588181854867,71.48091983992644,0,0,13481.575,13475.0,13460.055,7.370998369722656,6.791470219428424,n,n,n,n,1.1675733811039564,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1013,2022-08-18 17:20:00,13484.75,13484.75,13484.75,13484.75,7.370998369722656,0.579528150294232,6.791470219428424,65.75603165104803,0,0,13482.375,13475.725,13460.905,7.03665348848881,6.840506873240502,n,n,n,n,0.9930322236305358,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
1014,2022-08-18 17:21:00,13484.25,13484.25,13484.25,13484.25,7.03665348848881,0.196146615248308,6.840506873240502,64.82417881061784,0,0,13483.25,13476.575,13461.725,6.634683527538073,6.799342204100016,y,y,n,n,0.579528150294232,n,n,n,n,NaN,NaN,0,0,36,,,0,0,-34,
